"Zaman damgası","What is your gender? ","What is your department? ","What year are you in school? ","What are your favorite music types? (Select up to 3)","What types of places do you prefer for spending your leisure time?  (Select up to 2)","How often do you listen to music? ","How often do you discuss or debate music with friends? ","Do you feel comfortable sharing your music preferences with others? ","Do you feel the music you listen to reflects who you are? ","Do you think discussing or debating songs helps you socialize? ","How social do you consider yourself? ","Do you prefer listening to music while studying? ","How often do you attend concerts or live music events? ","How important are lyrics to you when listening to music? ","Has there been a turning point in your life that changed your music listening frequency or genre preference? "
"2024/12/11 4:46:19 ÖS GMT+3","Male","Faculty of Arts and Sciences","1st year","Rap","Home/Dormitory;Cafes;Parks/Nature;Library;Beaches/Coastal Areas;Student Club Buildings;Sport/Walking Around","5","5","5","4","5","4","5","4","4","No"
"2024/12/11 4:47:47 ÖS GMT+3","Male","Faculty of Arts and Sciences","1st year","Pop;Rock;Rap","Parks/Nature;Library","4","3","4","4","3","4","1","2","2","No"
"2024/12/11 4:48:15 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","4th year","Pop;Rock;Country;R&B","Home/Dormitory;Cafes","5","4","2","3","4","4","5","3","3","No"
"2024/12/11 4:49:03 ÖS GMT+3","Prefer not to say","Faculty of Economic and Administrative Sciences","2nd year","Pop;Rock;Rap","Driving","3","2","4","4","1","4","4","1","4","No"
"2024/12/11 4:49:10 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Pop;Classical;R&B","Home/Dormitory","3","1","4","1","3","2","3","1","2","No"
"2024/12/11 4:51:17 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Rock;Rap;Electronic;Arabesque","Home/Dormitory;Cafes","5","3","4","5","5","5","3","2","4","Depression"
"2024/12/11 4:51:52 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Electronic;Jazz;Metal;R&B","Home/Dormitory;Sport/Walking Around","4","1","2","3","2","1","2","2","5","No"
"2024/12/11 4:51:57 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock","Home/Dormitory;Cafes;Parks/Nature;Beaches/Coastal Areas;Sport/Walking Around","5","4","3","4","4","4","3","4","2","No"
"2024/12/11 4:52:29 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Rock;Metal;R&B","Home/Dormitory;Cafes;Parks/Nature;Sport/Walking Around","4","3","4","3","4","4","4","4","4","Gitar sololarının ne kadar güzel olabildiğini fark ettiğimde metal dinleme sıklığım baya artmıştı :)"
"2024/12/11 4:53:59 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Pop;Rock;Rap","Home/Dormitory;Cafes","5","4","5","5","3","3","2","3","4","In highschool when I listen more The Strokes and indir genre it felt like i might live better life and different future"
"2024/12/11 4:57:56 ÖS GMT+3","Female","Faculty of Architecture","5th year or more","Rock","Home/Dormitory","4","4","5","5","5","5","5","3","4","When I start to university "
"2024/12/11 5:01:38 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","3rd year","Pop;Rock;R&B","Faculty","4","1","1","2","1","4","3","2","3","No"
"2024/12/11 5:01:46 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","3rd year","Rock;Rap","Home/Dormitory;Cafes","5","3","2","3","2","2","5","2","3","No"
"2024/12/11 5:05:28 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rock;Rap","Library;Sport/Walking Around","5","3","2","5","3","1","5","1","4","No"
"2024/12/11 5:06:15 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Rock;Classical;Jazz","Home/Dormitory;Parks/Nature;Library","3","3","5","3","4","4","4","2","5","No"
"2024/12/11 5:06:45 ÖS GMT+3","Male","Faculty of Engineering","4th year","Rock;Classical;Jazz","Cafes;Parks/Nature;Library","5","3","4","5","4","5","5","4","4","No"
"2024/12/11 5:07:09 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Arabesque","Cafes;Student Club Buildings","2","1","3","5","1","3","3","2","4","No"
"2024/12/11 5:07:10 ÖS GMT+3","Male","Faculty of Arts and Sciences","Preparatory year","Rock;Soundtrack;Protest halk müziği ","Home/Dormitory;Library","4","2","3","5","2","4","1","2","4","Solcu oldum Grup Yorum dinlemeye başladım "
"2024/12/11 5:08:56 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Rock;Metal;Arabesque","Library;Sport/Walking Around","3","1","5","2","3","3","2","2","3","No"
"2024/12/11 5:09:24 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Rock;Classical;Jazz;Country","Cafes;Parks/Nature","3","1","3","5","4","5","2","3","1","No"
"2024/12/11 5:10:33 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Rock;Metal;protest halk müziği","Home/Dormitory;Cafes","4","3","5","5","4","3","2","2","5","The point I became socialist  changed my genre preference. But when my headphones are broken it changed my listening frequency"
"2024/12/11 5:10:42 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","Preparatory year","Pop;Rap;R&B","Cafes;Parks/Nature;Student Club Buildings;Sport/Walking Around","3","2","3","4","3","5","3","1","3","Yes"
"2024/12/11 5:11:00 ÖS GMT+3","Female","Faculty of Engineering","Preparatory year","Pop;Rock;Classical","Cafes;Student Club Buildings","5","2","3","4","2","4","4","3","5","taylor swift"
"2024/12/11 5:11:00 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","Preparatory year","Classical","Student Club Buildings","3","1","1","1","4","1","5","2","1","No"
"2024/12/11 5:11:35 ÖS GMT+3","Male","Faculty of Education","2nd year","Rap;Country;Arabesque","Home/Dormitory;Student Club Buildings","4","3","4","4","4","3","3","2","4","No"
"2024/12/11 5:11:37 ÖS GMT+3","Male","Faculty of Arts and Sciences","1st year","Jazz","Home/Dormitory","4","2","3","4","3","3","4","2","3","Yes, at the beginning of highschool, my piano teacher introduced me to jazz and classical music"
"2024/12/11 5:11:57 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","3rd year","Classical","Home/Dormitory","1","1","5","1","1","3","5","1","1","No"
"2024/12/11 5:17:01 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Electronic;Classical;Jazz","Home/Dormitory;Library","5","5","1","3","3","1","1","4","4","No"
"2024/12/11 5:18:42 ÖS GMT+3","Male","Faculty of Arts and Sciences","Preparatory year","Rock;Metal;Devrimci Türküler ve Marşlar","Home/Dormitory;Beaches/Coastal Areas","4","3","3","5","5","3","2","3","5","Protest müzikler, politik bakış açımı epey değiştirdi"
"2024/12/11 5:19:36 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Arabesque","Home/Dormitory;Cafes","4","2","4","3","4","4","1","2","4","No"
"2024/12/11 5:20:44 ÖS GMT+3","Female","Faculty of Arts and Sciences","5th year or more","Rock","Home/Dormitory;Sport/Walking Around","4","2","3","4","3","2","1","2","3","No"
"2024/12/11 5:21:45 ÖS GMT+3","Female","Faculty of Architecture","4th year","Pop;Rock;Classical;Jazz;Soundtrack;R&B;Indie","Home/Dormitory;Cafes;Parks/Nature;Sport/Walking Around;While study","5","3","4","2","4","5","4","1","4","Sometimes I get the urge of not listening."
"2024/12/11 5:21:59 ÖS GMT+3","Male","Faculty of Architecture","4th year","Rock;Rap;R&B","Home/Dormitory;Video Games","5","1","3","5","4","1","5","2","5","No"
"2024/12/11 5:22:20 ÖS GMT+3","Male","Faculty of Arts and Sciences","2nd year","Rock;Soundtrack;Folk","Parks/Nature;Sport/Walking Around","5","3","2","4","4","3","3","2","4","Becoming a High School Rookie"
"2024/12/11 5:22:32 ÖS GMT+3","Female","Faculty of Architecture","4th year","Rock;Rap;Metal","Home/Dormitory;Cafes","3","3","5","5","3","2","5","2","1","There has, I changed from listening to Turkish songs to English songs and the genre I preferred changed."
"2024/12/11 5:22:59 ÖS GMT+3","Female","Faculty of Arts and Sciences","5th year or more","Meditative sounds, icaros (medicine songs ) , tibetian chants.....","Home/Dormitory;Parks/Nature","4","2","1","5","1","2","1","1","4","Yes , emotional and spritual-mystical stuff changed it"
"2024/12/11 5:23:13 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rap","Home/Dormitory;Library;Sport/Walking Around","5","4","5","4","5","4","5","1","4","No"
"2024/12/11 5:23:33 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rock;Jazz","Home/Dormitory;Parks/Nature","4","3","2","4","4","4","4","3","5","attending highschool"
"2024/12/11 5:23:39 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rock;Rap;R&B","Home/Dormitory;Library","4","2","5","2","1","2","1","2","3","No"
"2024/12/11 5:23:45 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Rock;Rap;R&B","Home/Dormitory;Cafes","5","3","4","5","2","2","4","1","3","pandemic"
"2024/12/11 5:23:49 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Metal","Home/Dormitory;Parks/Nature","5","3","3","5","1","2","4","1","4","Pandemic "
"2024/12/11 5:23:56 ÖS GMT+3","Female","Faculty of Engineering","3rd year","Rock;Metal;Soundtrack","Home/Dormitory;Cafes","3","2","1","4","1","5","2","1","5","When i got into uni. İ started to listen music while studying. "
"2024/12/11 5:24:01 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rap","Home/Dormitory;Library;Sport/Walking Around","4","3","4","2","2","3","2","2","4","No"
"2024/12/11 5:24:08 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop;Rap","Cafes;Student Club Buildings","3","3","3","3","3","4","3","3","3","No"
"2024/12/11 5:24:26 ÖS GMT+3","Female","Faculty of Arts and Sciences","3rd year","Pop;Rock;Rap","Home/Dormitory;Beaches/Coastal Areas","3","5","4","3","4","5","1","5","5","No"
"2024/12/11 5:24:32 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Rock;Metal","Home/Dormitory;Sport/Walking Around","3","2","2","4","4","3","1","2","4","No"
"2024/12/11 5:24:38 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Rock;Metal","Home/Dormitory","5","2","5","5","4","5","3","3","3","No"
"2024/12/11 5:24:52 ÖS GMT+3","Female","Faculty of Engineering","4th year","Rock;Rap;Country;R&B","Cafes;Parks/Nature;Library;Beaches/Coastal Areas","5","2","3","3","3","3","5","4","3","No"
"2024/12/11 5:25:39 ÖS GMT+3","Male","Faculty of Engineering","4th year","Electronic;Soundtrack","Beaches/Coastal Areas","5","5","5","5","5","5","5","5","5","No"
"2024/12/11 5:25:50 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rock;Classical;Jazz;Metal","Home/Dormitory;Library","5","1","1","1","1","1","5","3","4","No"
"2024/12/11 5:25:57 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Rap;Electronic;Metal;R&B","Cafes;Parks/Nature;Library;Beaches/Coastal Areas;Sport/Walking Around","4","2","2","3","1","5","5","4","3","No"
"2024/12/11 5:26:01 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Electronic;Classical;Jazz;Metal;Soundtrack","Parks/Nature;Beaches/Coastal Areas;Sport/Walking Around","5","5","5","5","5","5","5","4","3","No"
"2024/12/11 5:26:06 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop;Rap","Cafes;Sport/Walking Around","4","4","5","5","5","5","5","3","3","No"
"2024/12/11 5:26:32 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Rock;Classical;Jazz","Home/Dormitory;Cafes","3","2","3","3","3","4","3","2","4","No"
"2024/12/11 5:27:02 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rock;Rap;Electronic;Classical;Jazz;Metal;Country;Soundtrack;R&B;Arabesque","Home/Dormitory;Sport/Walking Around","3","2","4","4","2","4","1","1","3","No"
"2024/12/11 5:27:02 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rock;Rap;Metal","Parks/Nature;Library","5","3","2","5","3","3","5","1","5","yes"
"2024/12/11 5:27:08 ÖS GMT+3","Male","Faculty of Engineering","1st year","Rock;Rap;Classical","Home/Dormitory;Parks/Nature;Library;Sport/Walking Around","4","3","4","4","4","4","5","2","4","No"
"2024/12/11 5:27:09 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop;Rock;Rap","Home/Dormitory;Cafes;Parks/Nature;Library;Sport/Walking Around","5","2","5","4","4","5","5","2","3","No"
"2024/12/11 5:27:39 ÖS GMT+3","Prefer not to say","Faculty of Arts and Sciences","2nd year","Rock;Soundtrack;Breakcore","Home/Dormitory;Parks/Nature;Library","4","3","2","2","1","2","3","2","4","university?"
"2024/12/11 5:27:39 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","Preparatory year","Pop","Home/Dormitory","4","3","3","3","2","4","5","2","4","No"
"2024/12/11 5:27:49 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Pop;Rock;Rap;Electronic;Classical;Jazz;Country","Home/Dormitory;Library;Sport/Walking Around","3","2","4","3","3","4","2","3","4","No"
"2024/12/11 5:28:05 ÖS GMT+3","Female","Faculty of Arts and Sciences","5th year or more","Rock;Classical;Jazz","Parks/Nature;Library;Student Club Buildings","5","3","2","3","3","4","2","4","4","I lost my music inside. "
"2024/12/11 5:28:17 ÖS GMT+3","Female","Faculty of Arts and Sciences","3rd year","Jazz;","Home/Dormitory;Sleeping","1","1","1","2","1","1","1","1","1","No"
"2024/12/11 5:28:53 ÖS GMT+3","Female","Faculty of Architecture","3rd year","Rock","Home/Dormitory","3","2","1","4","3","3","3","3","3","No"
"2024/12/11 5:28:53 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Pop;Electronic;Jazz","Home/Dormitory","3","2","2","4","2","2","3","2","3","No"
"2024/12/11 5:29:01 ÖS GMT+3","Female","Faculty of Education","1st year","Rock;Classical;Metal","Home/Dormitory;Sport/Walking Around","5","5","5","5","5","5","5","5","5","No"
"2024/12/11 5:29:02 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Arabesque","Home/Dormitory","3","3","2","4","2","2","2","2","3","No"
"2024/12/11 5:29:27 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Rock;Rap","Home/Dormitory;Cafes","4","2","3","3","2","3","4","2","1","No"
"2024/12/11 5:29:53 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rock;Rap;Metal","Home/Dormitory;Library","5","2","5","5","3","5","5","5","5","No"
"2024/12/11 5:31:06 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Rock;Jazz;Metal","Research Lab","5","4","5","5","4","5","3","4","4","After an age I started to listen everything "
"2024/12/11 5:31:25 ÖS GMT+3","Female","Faculty of Education","2nd year","Rock","Cafes;Parks/Nature","5","4","2","3","3","3","3","2","4","No"
"2024/12/11 5:31:45 ÖS GMT+3","Male","Faculty of Architecture","4th year","Pop;Rock;Classical;Jazz;Country;Arabesque","Cafes;Beaches/Coastal Areas","5","5","5","4","3","5","3","2","4","18. Yaşım"
"2024/12/11 5:31:51 ÖS GMT+3","Female","Faculty of Architecture","5th year or more","Pop;Rock;Rap;Jazz;Country","Cafes;Parks/Nature;Beaches/Coastal Areas;Sport/Walking Around","5","5","4","4","3","5","4","3","3","Lise dönemi"
"2024/12/11 5:32:11 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Rock;Rap;Electronic;Classical;Jazz;Metal;Country;Soundtrack;R&B","Parks/Nature;Sport/Walking Around","5","2","4","2","3","4","4","2","4","No"
"2024/12/11 5:32:13 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop;Rap;Classical","Home/Dormitory;Cafes;Library","4","2","2","5","3","3","4","2","3","No"
"2024/12/11 5:32:15 ÖS GMT+3","Female","Faculty of Arts and Sciences","5th year or more","Pop;Rock;Rap;Soundtrack","Home/Dormitory;Cafes;Sport/Walking Around","3","1","2","2","1","4","2","2","4","No"
"2024/12/11 5:32:30 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rap","Library","5","5","5","5","5","5","5","5","5","No"
"2024/12/11 5:32:37 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rock","Home/Dormitory;Library","5","5","5","5","5","5","5","5","5","No"
"2024/12/11 5:33:38 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","2nd year","Pop","Home/Dormitory","4","3","5","4","4","4","1","3","4","No"
"2024/12/11 5:34:02 ÖS GMT+3","Male","Faculty of Arts and Sciences","2nd year","Pop;Rock;Rap;Classical;Jazz;Country;Arabesque","Cafes;Library;Sport/Walking Around","4","2","3","2","3","3","4","4","4","My music taste and frequency was changed at my last year in the highschool "
"2024/12/11 5:34:19 ÖS GMT+3","Male","Faculty of Education","1st year","Classical","Sport/Walking Around","3","2","3","4","3","2","3","2","1","No"
"2024/12/11 5:34:22 ÖS GMT+3","Male","Faculty of Engineering","1st year","Rap;Electronic;Arabesque","Cafes;Library","5","2","5","5","4","4","2","3","4","No"
"2024/12/11 5:34:34 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop","Home/Dormitory;Cafes","3","1","2","3","3","3","2","4","3","No"
"2024/12/11 5:34:50 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop;Arabesque","Home/Dormitory;Cafes","4","3","4","1","2","4","4","1","1","No"
"2024/12/11 5:35:44 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop;Country;Arabesque","Home/Dormitory;Library","5","3","4","4","2","4","3","3","5","No"
"2024/12/11 5:36:33 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Jazz;R&B","Home/Dormitory;Cafes","3","2","4","5","2","4","4","4","5","No"
"2024/12/11 5:36:40 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Rap;Classical;Jazz;Soundtrack;R&B;Arabesque","Home/Dormitory;Library","5","4","4","5","5","4","4","5","5","No"
"2024/12/11 5:36:44 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rap;Country","Home/Dormitory;Library;Beaches/Coastal Areas;Student Club Buildings;Sport/Walking Around","4","3","5","4","4","5","3","3","3","No"
"2024/12/11 5:37:04 ÖS GMT+3","Female","Faculty of Arts and Sciences","3rd year","Pop;Rock;Jazz","Home/Dormitory;Parks/Nature;Sport/Walking Around","3","3","2","4","2","3","1","3","5","No"
"2024/12/11 5:37:13 ÖS GMT+3","Male","Faculty of Engineering","Preparatory year","Pop;Rap;Classical","Home/Dormitory;Parks/Nature;Sport/Walking Around","5","2","4","3","2","2","5","1","2","No"
"2024/12/11 5:37:14 ÖS GMT+3","Male","Faculty of Engineering","1st year","Rock;Rap;Classical","Parks/Nature;Beaches/Coastal Areas","5","2","5","5","1","4","5","4","3","No"
"2024/12/11 5:38:18 ÖS GMT+3","Female","Faculty of Arts and Sciences","4th year","Rap;Electronic;R&B","Home/Dormitory;Cafes;Library","5","5","5","5","5","3","4","4","4","growing up "
"2024/12/11 5:38:54 ÖS GMT+3","Female","Faculty of Arts and Sciences","1st year","Pop;Rock;Classical;Country;Soundtrack","Cafes;Parks/Nature","5","3","4","4","4","4","1","4","2","No"
"2024/12/11 5:39:14 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rap;Arabesque","Home/Dormitory;Cafes;Library;Sport/Walking Around","1","2","5","5","1","5","4","3","1","No"
"2024/12/11 5:39:40 ÖS GMT+3","Female","Faculty of Arts and Sciences","2nd year","Pop;Rock;Rap;Electronic;Classical;Jazz","Home/Dormitory;Parks/Nature","5","3","4","4","3","4","3","3","4","No"
"2024/12/11 5:40:03 ÖS GMT+3","Female","Faculty of Arts and Sciences","4th year","Pop;Rock;Rap;Country;Arabesque","Home/Dormitory","5","3","5","5","2","4","3","3","3","No"
"2024/12/11 5:40:37 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rock;Rap","Home/Dormitory;Library","3","2","4","4","2","3","3","3","5","No"
"2024/12/11 5:40:49 ÖS GMT+3","Male","Faculty of Arts and Sciences","1st year","Pop;Rock;Country","Cafes;pubs ","5","3","4","4","5","5","3","3","3","No"
"2024/12/11 5:41:21 ÖS GMT+3","Female","Faculty of Education","1st year","Rock","Home/Dormitory;Cafes;Sport/Walking Around","5","4","5","5","5","4","4","3","4","I established my band called Melodram"
"2024/12/11 5:41:29 ÖS GMT+3","Male","Faculty of Arts and Sciences","Preparatory year","Pop;Classical;Arabesque","Home/Dormitory;Parks/Nature","2","4","4","4","4","2","1","2","4","No"
"2024/12/11 5:41:32 ÖS GMT+3","Female","Faculty of Engineering","3rd year","Pop;Rock;Classical;Metal;Soundtrack;R&B","Home/Dormitory;Cafes","5","2","1","1","1","2","5","2","1","Yks"
"2024/12/11 5:41:43 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock","Home/Dormitory;Cafes","4","2","4","3","4","3","4","4","3","No"
"2024/12/11 5:42:53 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Rap","Cafes;Library;Sport/Walking Around","5","3","5","4","1","3","3","3","2","No"
"2024/12/11 5:43:28 ÖS GMT+3","Male","Faculty of Arts and Sciences","3rd year","Pop;Rock;Metal;Soundtrack","Home/Dormitory;Sport/Walking Around","5","5","4","2","4","3","3","3","5","No"
"2024/12/11 5:45:11 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","1st year","Rock;Classical;Jazz","Cafes","5","3","4","4","3","4","1","2","4","No"
"2024/12/11 5:46:09 ÖS GMT+3","Female","Faculty of Architecture","5th year or more","Pop;Rock;Rap","Home/Dormitory;Sport/Walking Around","4","2","2","4","4","2","4","3","4","Bölüme geçme "
"2024/12/11 5:46:26 ÖS GMT+3","Female","Faculty of Education","2nd year","Pop;Rap;Country;R&B;Arabesque","Home/Dormitory;Cafes;Library","3","4","5","3","2","5","1","3","4","No"
"2024/12/11 5:46:44 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Pop;Rap;Classical;Jazz","Home/Dormitory;Cafes;Library;Beaches/Coastal Areas","4","4","5","3","4","5","4","3","2","No"
"2024/12/11 5:47:19 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop","Home/Dormitory","5","5","1","5","4","5","2","4","1","No"
"2024/12/11 5:47:31 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rap;Metal;Soundtrack","Home/Dormitory;Parks/Nature","5","1","4","3","4","5","5","4","3","Sagopa kajmer "
"2024/12/11 5:47:47 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rock;Metal;Funk ","Home/Dormitory;Parks/Nature","4","4","5","5","5","5","3","2","3","Playing funk guitar made me listen funk genre a lot more"
"2024/12/11 5:47:58 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Jazz;Country","Home/Dormitory;Beaches/Coastal Areas","5","4","2","4","5","3","3","4","5","No"
"2024/12/11 5:48:02 ÖS GMT+3","Male","Faculty of Engineering","4th year","Rock;Jazz;Metal","Cafes;Library","1","2","5","5","3","4","1","1","4","No"
"2024/12/11 5:48:08 ÖS GMT+3","Female","Faculty of Education","1st year","Pop;Rap;Jazz;R&B","Home/Dormitory","5","5","5","5","5","4","4","1","3","No"
"2024/12/11 5:48:11 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","2nd year","Pop;Rock;Rap;Electronic;Classical;Jazz;Metal","İdil","3","5","1","3","4","3","4","2","4","No"
"2024/12/11 5:49:02 ÖS GMT+3","Male","Faculty of Arts and Sciences","1st year","Rock;Rap;Metal","Home/Dormitory;Sport/Walking Around","4","4","4","2","4","3","2","4","5","No"
"2024/12/11 5:49:03 ÖS GMT+3","Prefer not to say","Faculty of Engineering","2nd year","Pop;Rap","Home/Dormitory","2","1","3","3","1","3","1","2","4","No"
"2024/12/11 5:49:08 ÖS GMT+3","Male","Faculty of Engineering","5th year or more","Pop;Rock;Arabesque","Home/Dormitory","2","1","2","3","1","3","1","2","3","No"
"2024/12/11 5:49:26 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Pop;Rock;Rap;Electronic;Jazz","Library;Sport/Walking Around","5","2","3","4","2","2","2","2","2","No"
"2024/12/11 5:49:36 ÖS GMT+3","Male","Faculty of Engineering","5th year or more","Jazz;Country;Arabesque","Library","3","1","3","4","1","5","3","1","4","No"
"2024/12/11 5:49:42 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rock;Rap;Metal","Home/Dormitory;Student Club Buildings","5","3","5","4","3","3","1","2","4","No"
"2024/12/11 5:50:34 ÖS GMT+3","Female","Faculty of Education","2nd year","Pop;Rock;Country","Home/Dormitory;Sport/Walking Around","5","4","3","5","4","3","4","4","3","No"
"2024/12/11 5:52:12 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Rap","Home/Dormitory;Cafes","3","1","2","4","2","3","1","2","2","No"
"2024/12/11 5:52:12 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Rap","Home/Dormitory;Library","2","2","3","2","1","2","2","1","2","No"
"2024/12/11 5:52:27 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Jazz;Metal","Home/Dormitory;Cafes;Parks/Nature;Sport/Walking Around","5","1","3","5","5","2","5","2","4","I discovered Linkin Park"
"2024/12/11 5:52:36 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","5th year or more","Pop;Rock;Classical","Parks/Nature;Library;Sport/Walking Around","5","2","5","4","5","5","5","5","5","My wife affected my to from pop, rock to classical"
"2024/12/11 5:53:21 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Rock;Rap","Home/Dormitory;Cafes","4","1","4","2","4","3","3","1","4","No"
"2024/12/11 5:53:38 ÖS GMT+3","Female","Faculty of Education","2nd year","Classical","Cafes","5","3","5","5","5","4","3","2","5","No"
"2024/12/11 5:54:33 ÖS GMT+3","Male","Faculty of Economic and Administrative Sciences","4th year","Pop;Rap;Electronic;R&B","Home/Dormitory;Cafes;Parks/Nature","5","2","5","5","3","5","3","3","3","No"
"2024/12/11 5:54:37 ÖS GMT+3","Female","Faculty of Education","4th year","Pop;Rap;Country","Home/Dormitory;Sport/Walking Around","3","1","1","4","1","3","1","2","5","No"
"2024/12/11 5:54:54 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Rap","Sport/Walking Around","4","3","4","3","2","4","3","3","5","No"
"2024/12/11 5:55:16 ÖS GMT+3","Male","Faculty of Engineering","1st year","Pop;Rap;R&B","Cafes;Parks/Nature;Beaches/Coastal Areas;Sport/Walking Around","5","3","4","3","2","5","3","5","3","No"
"2024/12/11 5:56:00 ÖS GMT+3","Female","Faculty of Education","2nd year","Pop;Soundtrack","Cafes;Library","4","3","2","5","4","3","4","3","4","No"
"2024/12/11 5:56:01 ÖS GMT+3","Male","Faculty of Engineering","4th year","Rock;Rap;R&B","Home/Dormitory;Cafes;Parks/Nature","5","3","4","5","2","3","4","1","3","No"
"2024/12/11 5:58:21 ÖS GMT+3","Male","Faculty of Architecture","5th year or more","Pop;Rock;Arabesque","Home/Dormitory","4","3","3","3","3","4","4","3","2","No"
"2024/12/11 6:01:06 ÖS GMT+3","Male","Faculty of Architecture","5th year or more","Pop;Rock;Arabesque","Home/Dormitory","4","3","3","3","3","4","4","3","2","No"
"2024/12/11 6:04:27 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Rock;Rap;Metal","Home/Dormitory","4","3","4","2","3","3","1","3","3","No"
"2024/12/11 6:08:00 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Pop;Rock;Rap;R&B;Arabesque","Home/Dormitory;Library","4","4","4","4","4","4","4","4","4","No"
"2024/12/11 6:34:07 ÖS GMT+3","Prefer not to say","Faculty of Economic and Administrative Sciences","3rd year","Pop;Rock;Rap","Home/Dormitory","5","1","3","3","1","4","1","2","3","No"
